id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_0576	每天早上地铁都挤满了人。	Měitiān zǎoshang dìtiě dōu jǐ mǎn le rén.	毎朝、地下鉄は満員でぎゅうぎゅう詰めなんです。	daily	1	A	panda	tired	你今天怎么又迟到了？	Nǐ jīntiān zěnme yòu chídào le?	あなた今日なんでまた遅刻したの？	B	me	tired	别提了。每天早上地铁都挤满了人，我等了三趟才挤上去。	Bié tí le. Měitiān zǎoshang dìtiě dōu jǐ mǎn le rén, wǒ děng le sān tàng cái jǐ shàngqù.	言わないでくれ。毎朝地下鉄は人でぎゅうぎゅう詰めでさ、3本待ってやっと押し入れたんだよ。	「挤满(jǐ mǎn:押し合って満杯になる)」。北京の「西二旗」や広州の「体育西路」など、中国の大都市の恐ろしい通勤ラッシュ(早高峰)の殺伐とした現実を描写します。
phrase_0577	我去停车场开车	Wǒ qù tíngchēchǎng kāichē	駐車場に車を取りに行ってくるよ。	daily	1	A	cat	happy	买的东西太多了，好重啊。	Mǎi de dōngxi tài duō le, hǎo zhòng a.	買ったものが多すぎる、重いわぁ。	B	dog	happy	你在商场门口等我，我去停车场开车，一会就过来。	Nǐ zài shāngchǎng ménkǒu děng wǒ, wǒ qù tíngchēchǎng kāichē, yíhuì jiù guòlái.	君はショッピングモールの出口で待ってて、僕が駐車場に車を取りに行ってくるから、すぐ来るよ。	「停车场(tíngchēchǎng:パーキング・駐車場)」。週末のショッピングモール(商场)デートで買った荷物を運ぶため、彼氏がスマートに車を回す時のセリフです。
phrase_0578	前面堵车了，我们绕路吧。	Qiánmiàn dǔchē le, wǒmen ràolù ba.	前方が渋滞しているので、私たちは回り道しましょう。	daily	1	A	sensei	tired	看这车队排得多長，红灯根本过不去。	Kàn zhè chēduì pái de duō cháng, hóngdēng gēnběn guò bú qù.	見なさいよこの車列の長さを。赤信号まったく抜けられないぞ。	B	me	sad	师傅，前面堵车了，我们绕路吧。走高架下面怎么样？	Shīfu, qiánmiàn dǔchē le, wǒmen ràolù ba. Zǒu gāojià xiàmiàn zěnmeyàng?	運転手さん、前方が渋滞してるから、迂回しましょうよ。高架下を行くのはどうですか？	「堵车(dǔchē:車が塞がる＝渋滞する)」「绕路(ràolù:道を回る＝迂回する)」。タクシーでの焦りを運転手に伝える言葉。大都市のラッシュアワー(高峰期)の風物诗です。
phrase_0579	我错过了最后一班公交车。	Wǒ cuòguò le zuìhòu yì bān gōngjiāochē.	最終バスに乗り遅れちゃったんです。	daily	2	A	dog	sad	你怎么走着回来了？满头大汗的。	Nǐ zěnme zǒuzhe huílái le? Mǎntóudàhàn de.	なんだって歩いて帰ってきたの？汗だくじゃん。	B	panda	tired	运气太背了，我错过了最后一班公交车，又舍不得打车。	Yùnqì tài bèi le, wǒ cuòguò le zuìhòu yì bān gōngjiāochē, yòu shěbude dǎchē.	運が悪すぎたのよ、私最終のバスを逃しちゃって。それにタクシー呼ぶのも勿体無いでしょ。	「最后一班(zuìhòu yì bān:最後の便＝終バス・終電)」。加班(残業)で遅くなった夜、目の前で無情にも走り去るテールランプを見送った絶望を語るセリフ。
phrase_0580	请系好安全带。	Qǐng jìhǎo ānquándài.	シートベルトをしっかりとお締めください。	daily	1	A	sensei	normal	女士们，先生们，飞机即将起飞。	Nǚshì men, xiānshēng men, fēijī jíjiāng qǐfēi.	レディースアンドジェントルメン、当機はまもなく離陸いたします。	B	panda	normal	广播在说什么？	Guǎngbō zài shuō shénme?	アナウンスなんて言ってるの？	「系(jì:結ぶ、締める)」「安全带(ānquándài)」。飛行機のCA(空姐)さんのアナウンスや、配車アプリの運転手さんから乗車時に必ず言われる安全確認フレーズ。
phrase_0581	我正在考驾照	Wǒ zhèngzài kǎo jiàzhào	今、運転免許を取っているところなんです。	daily	2	A	me	happy	你周末有空吗？我们去郊区烤肉。	Nǐ zhōumò yǒukòng ma? Wǒmen qù jiāoqū kǎoròu.	週末暇ある？郊外にバーベキューしに行こうよ。	B	cat	sad	去不了。我正在考驾照，周末要去驾校练科目二。	Qù bùliǎo. Wǒ zhèngzài kǎo jiàzhào, zhōumò yào qù jiàxiào liàn kēmù'èr.	行けないわ。私今運転免許取ってるところで、週末は教習所に行って科目2の練習よ。	「驾照(jiàzhào:運転免許証)」。中国で免許を取るには「驾校(自動車学校)」に通い、科目一(学科)から科目四まで厳しい試験を受けます。若者の通過儀礼です。
phrase_0582	这条路限速六十。	Zhè tiáo lù xiànsù liùshí.	この道は制限速度が時速60キロです。	daily	2	A	dog	happy	你看这路上都没车，我踩一脚油门！	Nǐ kàn zhè lù shang dōu méi chē, wǒ cǎi yì jiǎo yóumén!	見ろよこの道車が全然いない、俺アクセル踏み込むぜ！	B	sensei	angry	慢点！你没看见牌子吗？这条路限速六十，小心被拍到扣分！	Màn diǎn! Nǐ méi kànjiàn páizi ma? Zhè tiáo lù xiànsù liùshí, xiǎoxīn bèi pāidào kòufēn!	ゆっくり！標識見えなかったのか？この道は制限速度60だ、カメラで撮られて減点されないように気をつけろ！	「限速(xiànsù:速度を制限する)」。中国の道路には無数の監視カメラ(摄像头)があり、スピード違反(超速)をすると容赦なく罰金(罚款)と減点(扣分)を食らいます。
phrase_0583	师傅，请开快一点儿，我赶时间	Shīfu, qǐng kāi kuài yìdiǎnr, wǒ gǎn shíjiān	運転手さん、少し急いでいただけますか？時間に追われていて。	daily	1	A	cat	tired	完了完了，面试还有二十分钟就开始了。	Wán le wán le, miànshì hái yǒu èrshí fēnzhōng jiù kāishǐ le.	終わった終わった、面接まであと20分で始まっちゃう。	B	panda	sad	师傅，请开快一点儿，我赶时间。不能再快了吗？	Shīfu, qǐng kāi kuài yìdiǎnr, wǒ gǎn shíjiān. Bùnéng zài kuài le ma?	運転手さん、もう少しだけ早く走ってくれませんか、急いでるんです。これ以上早く無理ですか？	「开快一点儿(少し速く運転する)」「赶时间(時間に追われる・急ぐ)」。遅刻確定の絶望の中で、タクシーの運転手(师傅)の神業（神走位）に一縷の望みを託す言葉。
phrase_0584	你把车停在路边等我。	Nǐ bǎ chē tíng zài lùbiān děng wǒ.	あなたは車を道の脇に止めて、私を待っていてください。	daily	1	A	me	happy	那个包裹在驿站对吧？	Nàge bāoguǒ zài yìzhàn duì ba?	あの荷物、宅配ステーションにあるんだよね？	B	dog	happy	对。你把车停在路边等我，我马上跑过去拿。	Duì. Nǐ bǎ chē tíng zài lùbiān děng wǒ, wǒ mǎshàng pǎo guòqù ná.	そう。君は路肩に車を止めて僕を待ってて。俺すぐ走って取りに行ってくる。	「停在路边(路肩に停車する)」。少しの用事のためにコインパーキングを探すのは手間のため、同乗者を車に残して「路肩で待機」させる「把」構文の典型的指示。
phrase_0585	导航说还有十分钟就到了	Dǎoháng shuō hái yǒu shí fēnzhōng jiù dào le	ナビだと、あと10分で着くみたいだよ。	daily	1	A	cat	tired	我们在车上坐了快一个小时了，到底什么时候能到？	Wǒmen zài chē shang zuò le kuài yí ge xiǎoshí le, dàodǐ shénme shíhou néng dào?	私たち車にもうすぐ一時間も乗ってるわよ。一体いつになったら着くの？	B	panda	happy	别着急呀。导航说还有十分钟就到了，前面那个路口右拐。	Bié zháojí ya. Dǎoháng shuō hái yǒu shí fēnzhōng jiù dào le, qiánmiàn nàge lùkǒu yòu guǎi.	焦らないでよ。ナビが言うにはあと10分で着くって。前のあの交差点を右折よ。	「导航(dǎoháng)」。スマホの地図アプリ(高德地図や百度地図)。今や中国人の移動インフラであり、ナビのお告げは運転手にとって絶対神のような存在です。
