id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_926	没什么大不了的。	Méi shénme dàbuliǎo de.	大したことないよ。	basic	1	A	犬	普通	我不小心把杯子打破了。	Wǒ bù xiǎoxīn bǎ bēizi dǎpò le.	うっかりコップを割っちゃった。	B	私	普通	没什么大不了的。	Méi shénme dàbuliǎo de.	大したことないよ。	失敗などを「気にしなくていいよ、些細なことだ」と軽く慰めたり、自分の実力を謙遜する時に使います。
phrase_927	别客气。	Bié kèqi.	遠慮しないで。	basic	1	A	先生	普通	谢谢你请我吃晚饭。	Xièxie nǐ qǐng wǒ chī wǎnfàn.	夕食をご馳走してくれてありがとう。	B	私	普通	别客气。	Bié kèqi.	遠慮しないで。	感謝された時の「どういたしまして」や、人に何かを勧める時の「気を使わないで」として使います。
phrase_928	我尽力而为。	Wǒ jìnlì ér wéi.	全力を尽くします。	basic	1	A	先生	普通	这件事情就拜托你了，能办到吗？	Zhè jiàn shìqing jiù bàituō nǐ le, néng bàndào ma?	この件は君に任せたよ。できるかな？	B	私	普通	我尽力而为。	Wǒ jìnlì ér wéi.	全力を尽くします。	確約はできないけれど、自分の持てる力をすべて出して頑張るという、誠実な決意表明です。
phrase_929	让我考虑一下。	Ràng wǒ kǎolǜ yíxià.	少し考えさせて。	basic	1	A	猫	普通	你想好去哪家公司上班了吗？	Nǐ xiǎng hǎo qù nǎ jiā gōngsī shàngbān le ma?	どの会社に就職するか、もう決めた？	B	私	普通	让我考虑一下。	Ràng wǒ kǎolǜ yíxià.	少し考えさせて。	即答を避けたい時や、重大な決断を下す前に時間を稼ぎたい時に便利な、角が立たない表現です。
phrase_930	我不是故意的。	Wǒ bú shì gùyì de.	わざとじゃないんだ。	basic	1	A	犬	普通	你刚才踩到我的脚了！	Nǐ gāngcái cǎi dào wǒ de jiǎo le!	さっき私の足踏んだでしょ！	B	私	普通	我不是故意的。	Wǒ bú shì gùyì de.	わざとじゃないんだ。	悪気があったわけではないと、自分の過失や失敗を弁明する時に使う定番フレーズです。
phrase_931	我早就知道了。	Wǒ zǎo jiù zhīdào le.	とっくに知ってましたよ。	basic	1	A	猫	普通	听说他们下个月要结婚了。	Tīngshuō tāmen xià ge yuè yào jiéhūn le.	あの二人、来月結婚するらしいよ。	B	私	普通	我早就知道了。	Wǒ zǎo jiù zhīdào le.	とっくに知ってましたよ。	相手が教えてくれた情報に対して「もう知っているよ」と返すフレーズです。言い方によっては「自慢げ」にも「当たり前」というニュアンスにもなります。
phrase_932	太遗憾了。	Tài yíhàn le.	残念だな。	basic	1	A	犬	普通	明天的聚会我可能去不了了。	Míngtiān de jùhuì wǒ kěnéng qù bùliǎo le.	明日の集まり、行けなくなっちゃったかもしれない。	B	私	普通	太遗憾了。	Tài yíhàn le.	残念だな。	期待していたことが叶わなかったり、残念な知らせを聞いた時に同情を表すフレーズです。
phrase_940	总而言之。	Zǒng ér yán zhī.	とにかく。	basic	1	A	犬	普通	经历了这么多波折，情况依然很复杂。	Jīnglìle zhème duō bōzhé, qíngkuàng yīrán hěn fùzá.	いろいろとトラブルがあったけど、状況は依然として複雑だ。	B	私	普通	总而言之。	Zǒng ér yán zhī.	とにかく。	ごちゃごちゃした長話や複雑な状況を「一言で要約するなら」と結論を導く時に使います。
phrase_941	换句话说。	Huàn jù huà shuō.	言い换えると。	basic	1	A	先生	普通	他的作品充满了象征意义，不易被大众理解。	Tā de zuòpǐn chōngmǎn le xiàngzhēng yìyì, búyì bèi dàzhòng lǐjiě.	彼の作品は象徴的な意味に満ちていて、大衆には理解されにくい。	B	私	普通	换句话说。	Huàn jù huà shuō.	言い换えると。	難しい話を分かりやすく言い直したり、別の視点から説明し直す時に話を切り替える言葉です。
phrase_942	我先走了。	Wǒ xiān zǒu le.	お先に失礼します。	basic	1	A	猫	普通	大家慢慢吃，我还有事。	Dàjiā mànman chī, wǒ háiyǒu shì.	みんなゆっくり食べてね。私は用事があるから。	B	私	普通	我先走了。	Wǒ xiān zǒu le.	お先に失礼します。	飲み会や職場から他の人より早く退出する時に、周りに一言かける超基本フレーズです。
