id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_0001	你好！认识你很高興。	Nǐ hǎo! Rènshi nǐ hěn gāoxìng.	こんにちは！お会いできて嬉しいです。	greeting	1	A	panda	happy	你好！认识你很高興。	Nǐ hǎo! Rènshi nǐ hěn gāoxìng.	こんにちは！お会いできて嬉しいです。	B	sensei	happy	你好，我也是。	Nǐ hǎo, wǒ yě shì.	こんにちは、私もです。	最も基本的な挨拶。「あなたが健康で良い状態でありますように」という願いが込められています。目上の人には「您好(Nín hǎo)」を使います。
phrase_0002	谢谢你的帮忙。	Xièxie nǐ de bāngmáng.	手伝ってくれてありがとう。	greeting	1	A	dog	normal	你的行李我帮你拿吧。	Nǐ de xínglǐ wǒ bāng nǐ ná ba.	あなたの荷物、持ってあげるよ。	B	cat	happy	谢谢你的帮忙！	Xièxie nǐ de bāngmáng!	手伝ってくれてありがとう！	感謝の基本。親しい間柄でも多用されます。強調したい時は「太谢谢你了（本当にありがとう）」と言いましょう。
phrase_0003	不用客气。	Bú yòng kèqi.	どういたしまして。	greeting	1	A	me	happy	谢谢你的帮忙。	Xièxie nǐ de bāngmáng.	手伝ってくれてありがとう。	B	panda	happy	不用客气，小事一桩。	Bú yòng kèqi, xiǎoshì yì zhuāng.	どういたしまして、これくらい大したことないですよ。	「谢谢」に対する基本的な返答。「客気（遠慮する）」を「不（しない）」で打ち消すことで、「遠慮しないで」という意味になります。
phrase_0004	对不起，我迟到了。	Duìbuqǐ, wǒ chídào le.	ごめんなさい、遅刻しました。	greeting	1	A	me	sad	对不起，我迟到了。	Duìbuqǐ, wǒ chídào le.	ごめんなさい、遅刻しました。	B	sensei	normal	没关系，快进来吧。	Méi guānxi, kuài jìnlái ba.	大丈夫ですよ、早く入って。	重めの謝罪。ちょっとぶつかった程度の時は「不好意思(Bù hǎoyìsi)」を使う方が自然です。
phrase_0005	没关系，我不疼。	Méi guānxi, wǒ bù téng.	大丈夫だよ。痛くないから。	greeting	1	A	cat	sad	对不起，踩到你的鞋了。	Duìbuqǐ, cǎi dào nǐ de xié le.	ごめんなさい、靴を踏んでしまって。	B	dog	happy	没关系，我不疼。	Méi guānxi, wǒ bù téng.	大丈夫だよ。痛くないから。	「对不起」と言われた時の決まった返し。自分へのダメージがない（関係ない）ことを伝えて相手を安心させる言葉です。
phrase_0006	我先走了，明天見！	Wǒ xiān zǒu le, míngtiān jiàn!	お先に失礼します、また明日！	daily	1	A	panda	happy	我先走了，明天見！	Wǒ xiān zǒu le, míngtiān jiàn!	お先に失礼します、また明日！	B	me	happy	好的，明天見！	Hǎo de, míngtiān jiàn!	わかりました、また明日！	「再び（再）会う（見）」という意味。明日会うなら「明天見」のように「時間＋見」という言葉の組み合わせが便利です。
phrase_0007	老师，早上好。	Lǎoshī, zǎoshang hǎo.	先生、おはようございます。	greeting	1	A	sensei	happy	大家早上好！开始上课。	Dàjiā zǎoshang hǎo! Kāishǐ shàngkè.	皆さんおはようございます！授業を始めます。	B	me	happy	老师，早上好。	Lǎoshī, zǎoshang hǎo.	先生、おはようございます。	朝限定の挨拶。よりカジュアルに「早(Zǎo)」の一文字だけで返すことも若者の間では非常に多いです。
phrase_0008	我困了，晚安。	Wǒ kùn le, wǎn'ān.	眠いから、おやすみなさい。	greeting	1	A	cat	tired	我困了，晚安。	Wǒ kùn le, wǎn'ān.	眠いから、おやすみなさい。	B	panda	happy	好的，晚安，做个好梦。	Hǎo de, wǎn'ān, zuò ge hǎo mèng.	わかった、おやすみ、良い夢を。	寝る直前に言う言葉。「晚上好（こんばんは）」とは全く違うので注意。
phrase_0009	好久不見！你最近怎么样？	Hǎojiǔ bújiàn! Nǐ zuìjìn zěnmeyàng?	久しぶり！最近どう？	greeting	1	A	dog	happy	哎呀！好久不見！你最近怎么样？	Āiyā! Hǎojiǔ bújiàn! Nǐ zuìjìn zěnmeyàng?	わあ！久しぶり！最近どう？	B	cat	happy	我挺好的，你呢？	Wǒ tǐng hǎo de, nǐ ne?	私は元気だよ、君は？	英語の「Long time no see」の語源になったとも言われています。親しい友人との再会時に「最近怎么样？（最近どう？）」と併せてよく使います。
phrase_0010	大家辛苦了！	Dàjiā xīnkǔ le!	皆さん、お疲れ様！	greeting	1	A	panda	tired	终于完成这个项目了。	Zhōngyú wánchéng zhège xiàngmù le.	やっとこのプロジェクトが終わった。	B	sensei	happy	大家辛苦了！	Dàjiā xīnkǔ le!	皆さん、お疲れ様！	仕事や大きなタスクを終えた相手を労う言葉です。日本の「お疲れ様」と違い、ただのすれ違いざまの挨拶には使いません。
phrase_0011	这件事就麻烦你了。	Zhè jiàn shì jiù máfan nǐ le.	この件、よろしくお願いします。	greeting	2	A	me	normal	能帮我把这份资料复印一下吗？	Néng bāng wǒ bǎ zhè fèn zīliào fùyìn yíxià ma?	この資料のコピーをお願いできますか？	B	cat	happy	没问题，交给我吧。	Méi wèntí, jiāo gěi wǒ ba.	問題ないですよ、任せてください。	人に何かを依頼する時や、やってもらった後に使う感謝・恐縮の定番表現。「谢谢」よりも手間をかけた事への申し訳なさが表現できます。
phrase_0012	请问，去火车站怎么走？	Qǐngwèn, qù huǒchēzhàn zěnme zǒu?	すみません、駅へはどうやって行きますか？	travel	1	A	panda	normal	请问，去火车站怎么走？	Qǐngwèn, qù huǒchēzhàn zěnme zǒu?	すみません、駅へはどうやって行きますか？	B	dog	happy	往前走，右拐就到了。	Wǎng qián zǒu, yòu guǎi jiù dào le.	まっすぐ行って右に曲がれば着きますよ。	知らない人に道を尋ねたり、店員に声をかける時の非常に丁寧なクッション言葉です。「请（プリーズ）问（問う）」という構成。
phrase_0013	不好意思，借过一下。	Bù hǎoyìsi, jièguò yíxià.	すみません、通してください。	greeting	1	A	me	normal	不好意思，借过一下。	Bù hǎoyìsi, jièguò yíxià.	すみません、通してください。	B	cat	normal	哦，好的，您请。	O, hǎo de, nín qǐng.	あ、はい、どうぞ。	軽い謝罪、人に呼びかける「Excuse me」、または褒められて「照れる」時など、非常に多岐にわたって使われる必須の表現です。
