id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_0076	不好意思，服务员！	Bù hǎoyìsi, fúwùyuán!	すみません、店員さん！	greeting	1	A	cat	normal	不好意思，服务员！	Bù hǎoyìsi, fúwùyuán!	すみません、店員さん！	B	dog	happy	来了！请问需要什么？	Lái le! Qǐngwèn xūyào shénme?	はい！何になさいますか？	「服务（奉仕する）员（係）」の意味で、レストランで店員を大きな声で呼ぶ時の必須語。日本のようにベルがない店も多いです。
phrase_0077	服务员，请拿一下菜单。	Fúwùyuán, qǐng ná yíxià càidān.	店員さん、メニューを持ってきてください。	restaurant	1	A	panda	normal	服务员，请拿一下菜单。	Fúwùyuán, qǐng ná yíxià càidān.	店員さん、メニューを持ってきてください。	B	sensei	happy	好的，这是菜单。	Hǎo de, zhè shì càidān.	はい、メニューです。	「菜（料理）单（リスト）」。最近はQRコード注文（扫码点餐）が多いですが、紙のメニューをお願いする時に使います。
phrase_0078	我们决定好了，点菜。	Wǒmen juédìng hǎo le, diǎncài.	決まりました、注文します。	restaurant	1	A	me	normal	我们决定好了，点菜。	Wǒmen juédìng hǎo le, diǎncài.	決まりました、注文します。	B	dog	normal	好的，请说。	Hǎo de, qǐng shuō.	はい、どうぞ。	「点（指定する）菜（料理）」。レストランに入ってメニューを決めた後、店員を呼んで注文を确定させる時の合図です。
phrase_0079	我要这个，还有这个。	Wǒ yào zhège, hái yǒu zhège.	これと、あとこれをください。	restaurant	1	A	panda	happy	我要这个，还有这个。	Wǒ yào zhège, hái yǒu zhège.	これと、あとこれをください。	B	cat	normal	好的，稍等一下。	Hǎo de, shāo děng yíxià.	はい、少々お待ちください。	メニューを指差しながら注文する最強のフレーズ。料理名が読めなくても「这个（これ）」で全て解決します。
phrase_0080	有什么推荐的菜吗？	Yǒu shénme tuījiàn de cài ma?	何かおすすめの料理はありますか？	restaurant	2	A	me	normal	有什么推荐的菜吗？	Yǒu shénme tuījiàn de cài ma?	何かおすすめの料理はありますか？	B	sensei	happy	我们的烤鸭是招牌。	Wǒmen de kǎoyā shì zhāopái.	うちの北京ダックは看板メニューですよ。	店員さんに、そのお店のおすすめメニューを聞きたい時の定番表現です。「招牌菜(Zhāopái cài)＝看板料理」という言葉もよくセットで返ってきます。
phrase_0081	服务员，结账买单。	Fúwùyuán, jiézhàng mǎidān.	店員さん、お会計お願いします。	restaurant	1	A	dog	normal	服务员，结账买单。	Fúwùyuán, jiézhàng mǎidān.	店員さん、お会計お願いします。	B	cat	happy	一共一百二十块。	Yígòng yìbǎi èrshí kuài.	全部で120元です。	中国は「席に座ったまま会計」が基本です。食事が終わったら「买单」と叫んで店員にテーブルまで来てもらいましょう。
phrase_0082	老板，结账吧。	Lǎobǎn, jiézhàng ba.	店長、お会計してください。	restaurant	2	A	panda	normal	老板，结账吧。	Lǎobǎn, jiézhàng ba.	店長、お会計してください。	B	sensei	normal	好的，微信还是支付宝？	Hǎo de, Wēixìn háishì Zhīfùbǎo?	はい、WeChatですか、それともアリペイですか？	「买单」と全く同じ意味ですが、「帐（帳簿）を结（結ぶ）」という字の通り、少しだけ大人の響きがあります。
phrase_0083	这盘炒饭没吃完，麻烦打包。	Zhè pán chǎofàn méi chī wán, máfan dǎbāo.	このチャーハン食べきれなかったので、お持ち帰り用に包んでください。	restaurant	1	A	me	normal	这盘炒饭没吃完，麻烦打包。	Zhè pán chǎofàn méi chī wán, máfan dǎbāo.	このチャーハン食べきれなかったので、お持ち帰り用に包んでください。	B	dog	happy	好的，给您盒子。	Hǎo de, gěi nín hézi.	はい、パックをどうぞ。	中国のレストランは量が多いので、食べ残しを持ち帰るのが普通の文化です。店員に言えば専用の容器をくれます。
phrase_0084	大家辛苦了，干杯！	Dàjiā xīnkǔ le, gānbēi!	皆さんお疲れ様、乾杯！	greeting	1	A	sensei	happy	大家辛苦了，干杯！	Dàjiā xīnkǔ le, gānbēi!	皆さんお疲れ様、乾杯！	B	panda	happy	干杯！为了我们的成功！	Gānbēi! Wèile wǒmen de chénggōng!	乾杯！私たちの成功を祝して！	「干（干す＝飲み干す）杯（杯）」。日本の乾杯と違い、本当に一気飲みを促されることもある、中国の宴席では欠かせない勢いのある言葉です。
phrase_0085	我已经吃饱了，太好吃了。	Wǒ yǐjīng chī bǎo le, tài hǎochī le.	もうお腹いっぱいです、とても美味しかった。	daily	1	A	cat	normal	你怎么不吃了？	Nǐ zěnme bù chī le?	どうしてもう食べないの？	B	dog	happy	我已经吃饱了，太好吃了。	Wǒ yǐjīng chī bǎo le, tài hǎochī le.	もうお腹いっぱいです、とても美味しかった。	「饱（満腹だ）」を使った結果補語。「吃得太饱了（食べすぎてお腹がはちきれそう）」という強調表現もよく使われます。
