id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_0051	不可能！他昨天刚升职！	Bù kěnéng! Tā zuótiān gāng shēngzhí!	ありえない！彼昨日昇進したばかりだぞ！	daily	1	A	dog	surprised	听说他要辞职了。	Tīng shuō tā yào cízhí le.	彼、仕事辞めるらしいよ。	B	sensei	angry	不可能！他昨天刚升职！	Bù kěnéng! Tā zuótiān gāng shēngzhí!	ありえない！彼昨日昇進したばかりだぞ！	「可能（可能性がある・～できる）」を強く否定して、相手の言葉や状況が「絶対にありえない」と信じられない時に使います。
phrase_0052	真的吗？太棒了！	Zhēn de ma? Tài bàng le!	本当ですか！？最高ですね！	daily	1	A	panda	happy	我买到演唱会的票了！	Wǒ mǎi dào yǎnchànghuì de piào le!	コンサートのチケットが買えたよ！	B	cat	surprised	真的吗？太棒了！	Zhēn de ma? Tài bàng le!	本当ですか！？最高ですね！	驚いた時や、相手の言葉を確認する際の定番のリアクションです。肯定の返事として使う場合は、語尾を上げずに「真的（本当だよ）」と言います。
phrase_0053	我不信，你上次也是这么说的。	Wǒ bú xìn, nǐ shàngcì yě shì zhème shuō de.	信じないよ、この前もそう言ってたじゃないか。	daily	2	A	dog	happy	我明天开始减肥。	Wǒ míngtiān kāishǐ jiǎnféi.	明日からダイエット始める。	B	panda	normal	我不信，你上次也是这么说的。	Wǒ bú xìn, nǐ shàngcì yě shì zhème shuō de.	信じないよ、この前もそう言ってたじゃないか。	「信（信じる）」の否定。冗談めかして「またまた～」というニュアンスでも、シリアスな「（あなたの言葉を）信じない」でも使えます。
phrase_0054	说实话，有点老土。	Shuō shíhuà, yǒudiǎn lǎotǔ.	正直に言うと、ちょっと古臭いですね。	daily	2	A	sensei	normal	你觉得这个设计怎么样？	Nǐ juéde zhège shèjì zěnmeyàng?	このデザイン、どう思いますか？	B	me	sad	说实话，有点老土。	Shuō shíhuà, yǒudiǎn lǎotǔ.	正直に言うと、ちょっと古臭いですね。	「実（真実の）話（話）を説（言う）」。言いにくい本音を打ち明ける前のクッション言葉として、文頭によく置かれます。
phrase_0055	别生气，我是开玩笑的。	Bié shēngqì, wǒ shì kāi wánxiào de.	怒らないで、冗談だったんだから。	daily	2	A	dog	angry	你刚才说的是认真的吗？	Nǐ gāngcái shuō de shì rènzhēn de ma?	さっき言ったの本気？	B	panda	happy	别生气，我是开玩笑的。	Bié shēngqì, wǒ shì kāi wánxiào de.	怒らないで、冗談だったんだから。	「开（開く）」と「玩笑（冗談）」でひとつの動詞になります。人をからかった後で場を和ませるために必須のフレーズです。
phrase_0056	不会吧？你再找找。	Bú huì ba? Nǐ zài zhǎozhao.	まさか？もう一回探してみて。	daily	2	A	cat	sad	我的手机好像丢了。	Wǒ de shǒujī hǎoxiàng diū le.	スマホ無くしたみたい。	B	dog	surprised	不会吧？你再找找。	Bú huì ba? Nǐ zài zhǎozhao.	まさか？もう一回探してみて。	「真の吗（本当？）」よりも、「そんなこと起こるはずがない（ありえない）」という疑いと驚きが混ざったリアクションです。
phrase_0057	怎么可能！连老师都不会。	Zěnme kěnéng! Lián lǎoshī dōu bú huì.	ありえない！先生でさえ解けないのに。	daily	2	A	sensei	normal	这道题小明做出来了。	Zhè dào tí Xiǎo Míng zuò chūlái le.	この問題、明君が解けたんだって。	B	me	surprised	怎么可能！连老师都不会。	Zěnme kěnéng! Lián lǎoshī dōu bú huì.	ありえない！先生でさえ解けないのに。	「怎么（どうして）＋可能（可能か）」で強い反語表現になります。「不可能」よりも感情的で勢いのある言い方です。
phrase_0058	那当然，我可是复习了很久。	Nà dāngrán, wǒ kěshì fùxí le hěn jiǔ.	もちろんさ、すごく復習したんだからね。	daily	1	A	dog	happy	这次考试你又是第一名吗？	Zhècì kǎoshì nǐ yòu shì dì yī míng ma?	今回のテストも君が一番なの？	B	cat	happy	那当然，我可是复習了很久。	Nà dāngrán, wǒ kěshì fùxí le hěn jiǔ.	もちろんさ、すごく復習したんだからね。	相手の質問に対して自信満々に答える時に使います。「当然了（Dāngrán le）」と言いかえることもできます。
phrase_0059	绝对不说，我保证。	Juéduì bù shuō, wǒ bǎozhèng.	絶対に言わない、約束するよ。	daily	2	A	panda	sad	你真的不会告诉别人吗？	Nǐ zhēn de bú huì gàosu biérén ma?	本当に他の人に言わない？	B	me	normal	绝对不说，我保証。	Juéduì bù shuō, wǒ bǎozhèng.	絶対に言わない、約束するよ。	「保（保つ）＋证（証明する）」で相手に強い信頼を持たせたい時の念押し表現です。
phrase_0060	顺便问一下，你下周有空吗？	Shùnbiàn wèn yíxià, nǐ xiàzhōu yǒu kòng ma?	ついでにお伺いしますが、来週お時間ありますか？	daily	2	A	dog	happy	谢谢你借我书。	Xièxie nǐ jiè wǒ shū.	本を貸してくれてありがとう。	B	sensei	normal	顺便问一下，你下周有空吗？	Shùnbiàn wèn yíxià, nǐ xiàzhōu yǒu kòng ma?	ついでにお伺いしますが、来週お時間ありますか？	話題を切り替えたり、本来の用件の後に別の質問を投げかけたりする時に便利なブリッジのフレーズです。
phrase_0061	总而言之，我们需要更多时间。	Zǒng ér yán zhī, wǒmen xūyào gèng duō shíjiān.	要するに、私たちはもっと時間が必要だということです。	business	3	A	dog	tired	情况太复杂了，我听不懂。	Qíngkuàng tài fùzá le, wǒ tīng bù dǒng.	状況が複雑すぎて、よく分からないです。	B	sensei	normal	总而言之，我们需要更多时间。	Zǒng ér yán zhī, wǒmen xūyào gèng duō shíjiān.	要するに、私たちはもっと時間が必要だということです。	長い説明の後に結論や要点をまとめる時に使う、少しフォーマルで知的な言い回しです。
phrase_0062	原来如此，我还以为出事故了。	Yuánlái rúcǐ, wǒ hái yǐwéi chū shìgù le.	なるほど、事故でも起きたのかと思っていました。	daily	2	A	cat	normal	因为下雪所以火车停运了。	Yīnwèi xiàxuě suǒyǐ huǒchē tíngyùn le.	雪の影響で電車が止まっているのよ。	B	panda	normal	原来如此，我还以为出事故了。	Yuánlái rúcǐ, wǒ hái yǐwéi chū shìgù le.	なるほど、事故でも起きたのかと思っていました。	理由や原因を聞いて納得した時に、深く頷きながら使う非常に便利な相槌のフレーズです。
phrase_0063	没什么，自言自語。	Méi shénme, zì yán zì yǔ.	何でもないよ、独り言だから。	daily	1	A	dog	normal	你刚才说什么？	Nǐ gāngcái shuō shénme?	さっき何て言ったの？	B	me	normal	没什么，自言自語。	Méi shénme, zì yán zì yǔ.	何でもないよ、独り言だから。	相手からの質問をかわしたい時や、たいしたことではないと伝える謙遜の表現。「没什么大不了的（大したことない）」の略。
phrase_0064	别客气，多吃点。	Bié kèqi, duō chī diǎn.	遠慮しないで、たくさん食べなさい。	greeting	1	A	cat	happy	这些水果我都拿走了，谢谢。	Zhèxiē shuǐguǒ wǒ dōu ná zǒu le, xièxie.	このフルーツ全部もらっていくね、ありがとう。	B	sensei	happy	别客气，多吃点。	Bié kèqi, duō chī diǎn.	遠慮しないで、たくさん食べなさい。	「不客气（どういたしまして）」と似ていますが、「别（～するな）」がついているので、相手の行動を促すニュアンスが強いです。
phrase_0065	下午下班后你有空吗？	Xiàwǔ xiàbān hòu nǐ yǒu kòng ma?	午後仕事が終わった後、時間ある？	daily	1	A	dog	normal	下午下班后你有空吗？	Xiàwǔ xiàbān hòu nǐ yǒu kòng ma?	午後仕事が終わった後、時間ある？	B	cat	happy	有空，去喝一杯吧。	Yǒu kòng, qù hē yí bēi ba.	あるよ、一杯飲みに行こうか。	「空（kòng：空間、隙間）」があるので「時間が空いているか」と尋ねる誘い言葉です。
phrase_0066	不行，我得加班，没空。	Bù xíng, wǒ děi jiābān, méi kòng.	ダメだ、残業しないといけないから時間がない。	daily	1	A	panda	happy	周末一起去逛街吧。	Zhōumò yìqǐ qù guàngjiē ba.	週末一緒に買い物に行こうよ。	B	dog	tired	不行，我得加班，没空。	Bù xíng, wǒ děi jiābān, méi kòng.	ダメだ、残業しないといけないから時間がない。	率直に誘いを断る言葉。目上の人に使うと少しぶっきらぼうなので「不好意思，我有点忙（すみません、少し忙しくて）」と言い換えましょう。
phrase_0067	我来帮忙吧，一个人搬不动。	Wǒ lái bāngmáng ba, yí ge rén bān bú dòng.	私が手伝おう、一人じゃ運べないよ。	daily	1	A	cat	tired	这些箱子太重了。	Zhèxiē xiāngzi tài zhòng le.	この箱重すぎるよ。	B	me	happy	我来帮忙吧，一个人搬不动。	Wǒ lái bāngmáng ba, yí ge rén bān bú dòng.	私が手伝おう、一人じゃ運べないよ。	「来(lái)」は来るという意味だけでなく、「私が（アクションを）するよ」という積極性を示す補助語として非常に便利です。
phrase_0068	让我来，我力气大。	Ràng wǒ lái, wǒ lìqi dà.	私に貸して、力があるから。	daily	1	A	dog	sad	这个盖子打不开。	Zhège gàizi dǎ bù kāi.	このフタが開かないよ。	B	sensei	happy	让我来，我力气大。	Ràng wǒ lái, wǒ lìqi dà.	私に貸して、力があるから。	相手から物を引き取って自分が代わりにやってあげる時の表現。「让（～させる）」を使った使役表現の基本形です。
phrase_0069	那，这是什么意思？	Nà, zhè shì shénme yìsi?	じゃあ、これはどういう意味なの？	daily	1	A	panda	normal	这句话说得不对。	Zhè jù huà shuō de bú duì.	この言葉の使い方は間違っているよ。	B	cat	normal	那，这是什么意思？	Nà, zhè shì shénme yìsi?	じゃあ、これはどういう意味なの？	分からない単語や、相手の言動の真意（どういうつもりだ？）を尋ねる時にも使える超マストフレーズ。
phrase_0070	欢迎，随便坐，我去倒茶。	Huānyíng, suíbiàn zuò, wǒ qù dào chá.	いらっしゃい、適当に座ってて、お茶淹れるから。	greeting	1	A	me	normal	打扰了。	Dǎrǎo le.	お邪魔します。	B	dog	happy	欢迎，随便坐，我去倒茶。	Huānyíng, suíbiàn zuò, wǒ qù dào chá.	いらっしゃい、適当に座ってて、お茶淹れるから。	お客さんを家に招き入れた後や、自分のオフィスに人が来た時に促す歓迎の言葉です。
phrase_0071	电梯来了，你先请。	Diàntī lái le, nǐ xiān qǐng.	エレベーターが来たよ、お先にどうぞ。	daily	1	A	cat	normal	电梯来了。	Diàntī lái le.	エレベーターが来たよ。	B	panda	happy	谢谢，你也请。	Xièxie, nǐ yě qǐng.	ありがとう、あなたもどうぞ。	「先（先に）＋请（どうぞ）」。ドアを開けてあげた時や、食事に口をつける時など、相手に順番を譲るスマートなマナー用語。
phrase_0072	祝你出差顺利，一路顺风。	Zhù nǐ chūchāi shùnlì, yílù shùnfēng.	出張の成功を祈ります、道中お気をつけて。	daily	2	A	sensei	normal	那我出发去上海了。	Nà wǒ chūfā qù Shànghǎi le.	じゃあ上海へ出発するよ。	B	me	happy	祝你出差顺利，一路顺风。	Zhù nǐ chūchāi shùnlì, yílù shùnfēng.	出張の成功を祈ります、道中お気をつけて。	飛行機などの長旅に出る相手を見送る表現。「顺风（追い風に乗って）」という意味です。「一路走好」は亡くなった人に使うので絶対に避けてください。
phrase_0073	好厉害！你太能吃了。	Hǎo lìhai! Nǐ tài néng chī le.	すごい！あんたよく食べるわね。	daily	1	A	dog	happy	我十分钟就吃完了三碗面。	Wǒ shí fēnzhōng jiù chī wán le sān wǎn miàn.	10分でラーメン3杯食べ終わったよ。	B	cat	surprised	好厉害！你太能吃了。	Hǎo lìhai! Nǐ tài néng chī le.	すごい！あんたよく食べるわね。	能力や結果が突出していることを褒めたり感嘆する時の言葉。「厉害(lìhai)」は良い事にも過酷な事にも使えます。
phrase_0074	走着瞧！这次我绝对会赢。	Zǒuzhe qiáo! Zhècì wǒ juéduì huì yíng.	今に見てろよ！今度は絶対俺が勝つ。	daily	3	A	dog	angry	这次比赛你肯定赢不了。	Zhècì bǐsài nǐ kěndìng yíng bù liǎo.	今度の試合、お前じゃ絶対勝てないよ。	B	panda	angry	走着瞧！这次我绝对会赢。	Zǒuzhe qiáo! Zhècì wǒ juéduì huì yíng.	今に見てろよ！今度は絶対俺が勝つ。	喧嘩やライバルに対する捨て台詞です。「歩きながら（進展を）見てやろうじゃないか」という語源から来ています。
phrase_0075	无所谓，反正我不想去。	Wúsuǒwèi, fǎnzhèng wǒ bù xiǎng qù.	どうでもいいよ、どのみち行きたくないし。	daily	2	A	cat	sad	如果你不去，他们会失望的。	Rúguǒ nǐ bú qù, tāmen huì shīwàng de.	あなたが行かなかったら、みんながっかりするよ。	B	dog	tired	无所谓，反正我不想去。	Wúsuǒwèi, fǎnzhèng wǒ bù xiǎng qù.	どうでもいいよ、どのみち行きたくないし。	「随便」に似ていますが、より「自分には全く影響がない、関心がない」という冷めたニュアンスが強く出ます。
