id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_951	随你的便。	Suí nǐ de biàn.	好きにして。	basic	1	A	猫	普通	我想自己决定这件事。	Wǒ xiǎng zìjǐ juédìng zhè jiàn shì.	この件は自分で決めたいんだ。	B	私	普通	随你的便。	Suí nǐ de biàn.	好きにして。	相手の自由にさせるという意味ですが、少し突き放すようなニュアンスが含まれることもあります。
phrase_952	别提了。	Bié tí le.	（嫌な思い出なので）聞かないでください。	basic	1	A	犬	普通	昨天的考试怎么样？	Zuótiān de kǎoshì zěnmeyàng?	昨日の試験はどうだった？	B	私	悲しい	别提了。	Bié tí le.	もう、その話はしないでください……。	思い出したくもない失敗や、残念な結果に終わったことに対して「言いたくない」「聞かないで」とはぐらかす時のフレーズです。
phrase_953	不好意思。	Bù hǎoyìsi.	すみません。	basic	1	A	犬	普通	抱歉，让一下。	Bàoqiàn, ràng yíxià.	ごめん、ちょっと通して。	B	私	普通	不好意思。	Bù hǎoyìsi.	すみません。	軽い謝罪や、人に声をかける時の「すみません」として日常的に多用されます。
phrase_954	让我看看。	Ràng wǒ kànkan.	見せて。	basic	1	A	猫	普通	你看我买的新包。	Nǐ kàn wǒ mǎi de xīn bāo.	見て、私が買った新しいバッグ。	B	私	普通	让我看看。	Ràng wǒ kànkan.	見せて。	相手の持っているものを見せてほしい時や、確認したい時に使います。
phrase_955	你在开玩笑吧？	Nǐ zài kāi wánxiào ba?	冗談でしょう？	basic	1	A	パンダ	普通	刚才老板说要发奖金了。	Gāngcái lǎobǎn shuō yào fā jiǎngjīn le.	さっき社長がボーナスを出すって言ってたよ。	B	私	驚く	你在开玩笑吧？	Nǐ zài kāi wánxiào ba?	冗談でしょう？	信じられない話やからかわれた時に、「嘘でしょ？」と返すフレーズです。
phrase_956	怎么可能？	Zěnme kěnéng?	そんなばかな。	basic	1	A	犬	普通	你看这只狗会算数！	Nǐ kàn zhè zhǐ gǒu huì suànshù!	見て、この犬計算ができるよ！	B	私	驚く	怎么可能？	Zěnme kěnéng?	そんなばかな。	常識的にありえないと思うことを否定する時に使います。
phrase_957	我同意。	Wǒ tóngyì.	賛成です。	basic	1	A	先生	普通	大家觉得这个提议怎么样？	Dàjiā juéde zhège tíyì zěnmeyàng?	みなさん提案はどう思いますか？	B	私	普通	我同意。	Wǒ tóngyì.	賛成です。	会議や議論の場で、はっきりと賛意を示すフォーマルな表現です。
phrase_958	我反对。	Wǒ fǎnduì.	反対です。	basic	1	A	先生	普通	我认为应该取消这个项目。	Wǒ rènwéi yīnggāi qǔxiāo zhège xiàngmù.	このプロジェクトは中止すべきだと思います。	B	私	怒る	我反对。	Wǒ fǎnduì.	反対です。	相手の意見にきっぱりと反対する時に使われますが、少し強いニュアンスになります。
phrase_959	毫无疑问。	Háo wú yíwèn.	疑う余地はない。	basic	1	A	犬	普通	他是我们队里最强的选手吧。	Tā shì wǒmen duì li zuì qiáng de xuǎnshǒu ba.	彼がうちのチームで一番強い選手だよね。	B	私	普通	毫无疑问。	Háo wú yíwèn.	疑う余地はない。	絶対的に正しい、これ以上議論する必要がないという確信を表します。
phrase_960	当然不行。	Dāngrán bùxíng.	当然ダメだよ。	basic	1	A	猫	普通	我可以借你的车用一下吗？	Wǒ kěyǐ jiè nǐ de chē yòng yíxià ma?	君の車をちょっと借りていい？	B	私	普通	当然不行。	Dāngrán bùxíng.	当然ダメだよ。	相手の依頼や許可を強く拒絶するきっぱりとした表現です。
